v1,v2,v3
416,395,396
394,416,415
395,416,394
407,428,427
407,427,406
386,407,385
385,407,406
424,404,425
404,424,403
404,426,425
404,405,426
269,289,268
289,269,290
311,289,290
289,311,310
331,309,310
309,331,330
309,289,310
289,309,288
329,309,330
308,309,329
309,308,287
288,309,287
355,356,377
376,355,377
355,375,354
355,376,375
356,355,335
355,334,335
353,333,354
333,353,332
333,355,354
355,333,334
291,269,270
269,291,290
292,291,271
271,291,270
247,267,246
267,247,268
267,289,288
289,267,268
267,288,287
266,267,287
245,267,266
267,245,246
224,245,223
245,244,223
246,245,225
245,224,225
245,265,244
245,266,265
282,262,283
262,282,261
262,261,240
241,262,240
207,227,206
227,207,228
185,207,206
186,207,185
38,60,59
60,38,39
122,143,142
121,122,142
144,122,123
143,122,144
122,121,100
101,122,100
122,102,123
122,101,102
226,204,205
204,226,225
204,224,203
224,204,225
204,184,205
204,183,184
182,204,203
183,204,182
360,338,339
338,360,359
339,338,318
338,317,318
237,217,238
217,237,216
257,237,258
236,237,257
216,237,215
237,236,215
237,259,258
259,237,238
259,239,260
239,259,238
259,280,279
259,279,258
259,260,281
280,259,281
107,87,108
107,86,87
153,173,152
173,153,174
173,174,195
194,173,195
69,48,70
70,48,49
48,27,28
48,28,49
48,69,68
47,48,68
48,26,27
48,47,26
159,179,158
179,159,180
381,360,361
381,361,382
402,381,403
403,381,382
328,308,329
328,307,308
350,328,329
328,350,349
307,328,306
328,327,306
328,349,348
327,328,348
389,368,390
368,369,390
369,368,348
368,347,348
429,408,430
408,409,430
408,429,428
407,408,428
363,383,362
384,383,363
383,361,362
361,383,382
405,383,384
404,383,405
383,404,403
383,403,382
311,312,332
312,333,332
334,312,313
333,312,334
312,311,290
291,312,290
312,292,313
312,291,292
263,285,284
285,263,264
263,284,283
262,263,283
208,209,230
229,208,230
208,229,228
207,208,228
102,81,103
81,82,103
81,101,80
101,81,102
81,80,59
60,81,59
61,81,60
81,61,82
41,61,40
62,61,41
61,62,83
82,61,83
61,39,40
61,60,39
337,336,315
316,337,315
357,337,358
336,337,357
317,337,316
338,337,317
337,338,359
358,337,359
148,128,149
127,128,148
128,129,150
128,150,149
129,128,108
128,107,108
128,106,107
106,128,127
106,84,85
84,106,105
106,126,105
106,127,126
86,106,85
107,106,86
151,172,150
172,171,150
172,151,152
173,172,152
160,139,140
160,140,161
182,160,161
160,182,181
180,160,181
159,160,180
118,117,97
117,96,97
379,380,400
380,401,400
380,379,358
380,358,359
401,380,402
380,381,402
360,380,359
381,380,360
367,389,388
367,368,389
387,365,366
387,386,365
387,367,388
367,387,366
387,407,386
387,408,407
409,387,388
408,387,409
221,242,220
242,241,220
222,242,221
242,222,243
242,262,241
242,263,262
242,243,264
263,242,264
